empresa_locacao, modelo_carro, quilometragem, ano, preco
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,27.817,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,35.512,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,47.506,2017,R$ 30.930
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,31.483,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,36.115,2018,R$ 33.900
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,50.091,2018,R$ 31.690
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,39.985,2018,R$ 32.130
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,43.52,2018,R$ 35.390
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,44.809,2018,R$ 38.430
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,43.848,2018,R$ 37.830
Movida,HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,45.859,2017,R$ 36.990
Movida,HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,32.018,2017,R$ 38.190
Movida,CHEVROLET SPIN 1.8 LTZ 8V FLEX 4P AUTOMATICO,33.51,2017,R$ 60.990
Movida,NISSAN KICKS 1.6 16V FLEXSTART SL 4P XTRONIC,34.658,2017,R$ 79.130
Movida,JEEP RENEGADE 1.8 16V FLEX SPORT 4P AUTOMATICO,31.576,2016,R$ 65.130
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,47.069,2018,R$ 31.990
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,52.06,2017,R$ 30.930
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,37.125,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,42.094,2018,R$ 33.900
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,43.001,2018,R$ 35.390
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,52.406,2018,R$ 34.330
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,39.69,2018,R$ 34.690
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.45,2018,R$ 35.390
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,29.104,2018,R$ 35.430
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,33.325,2018,R$ 35.430
Movida,FIAT MOBI 1.0 FIREFLY FLEX DRIVE MANUAL,38.881,2018,R$ 34.690
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,50.591,2018,R$ 35.130
Movida,RENAULT SANDERO 1.6 16V SCE FLEX EXPRESSION MANUAL,42.65,2018,R$ 40.530
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,53.219,2018,R$ 35.130
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,42.749,2018,R$ 35.390
Movida,RENAULT SANDERO 1.6 16V SCE FLEX EXPRESSION MANUAL,34.575,2018,R$ 41.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,46.63,2018,R$ 35.130
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,36.105,2018,R$ 36.230
Movida,RENAULT LOGAN 1.0 12V SCE FLEX AUTHENTIQUE MANUAL,36.988,2018,R$ 36.230
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,28.84,2018,R$ 39.230
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,28.84,2018,R$ 39.230
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,46.41,2018,R$ 38.130
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,54.828,2018,R$ 38.130
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,31.093,2018,R$ 39.230
Movida,RENAULT LOGAN 1.0 12V SCE FLEX EXPRESSION MANUAL,52,2018,R$ 38.130
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,31.059,2018,R$ 39.130
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,32.552,2018,R$ 39.130
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,41.782,2018,R$ 38.330
Movida,HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,30.637,2018,R$ 41.190
Movida,HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,28.483,2017,R$ 44.630
Movida,HYUNDAI HB20S 1.6 COMFORT PLUS 16V FLEX 4P AUTOMATICO,33.988,2018,R$ 55.660
Movida,HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,33.379,2018,R$ 41.190
Movida,HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,37.381,2018,R$ 45.460
Movida,VOLKSWAGEN VOYAGE 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,37.706,2018,R$ 40.190
Movida,HYUNDAI HB20S 1.6 COMFORT PLUS 16V FLEX 4P AUTOMATICO,27.211,2018,R$ 55.660
Movida,TOYOTA ETIOS 1.3 X 16V FLEX 4P MANUAL,43.991,2018,R$ 40.730
Movida,RENAULT FLUENCE 2.0 DYNAMIQUE PLUS 16V FLEX 4P AUTOMATICO,37.803,2016,R$ 54.360
Movida,VOLKSWAGEN SAVEIRO 1.6 MI STARTLINE CS 8V FLEX 2P MANUAL,68.701,2015,R$ 29.130
Movida,CHEVROLET PRISMA 1.0 MPFI JOY 8V FLEX 4P MANUAL,38.65,2018,R$ 39.890
Movida,CHEVROLET SPIN 1.8 LTZ 8V FLEX 4P AUTOMATICO,39.863,2017,R$ 58.590
Movida,VOLKSWAGEN SAVEIRO 1.6 MSI ROBUST CS 8V FLEX 2P MANUAL,43.738,2018,R$ 40.430
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,39.497,2017,R$ 31.130
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,36.179,2017,R$ 32.190
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,32.559,2017,R$ 31.690
Movida,FIAT MOBI 1.0 EVO FLEX LIKE. MANUAL,36.179,2017,R$ 32.190
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.99,2018,R$ 35.390
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,66.493,2018,R$ 34.630
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,32.816,2018,R$ 39.130
Movida,RENAULT DUSTER 1.6 16V SCE FLEX EXPRESSION MANUAL,30.693,2018,R$ 57.130
Movida,HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,40.228,2018,R$ 40.330
Movida,HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,49.171,2017,R$ 36.990
Movida,HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,36.337,2018,R$ 40.330
Movida,HYUNDAI HB20S 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,30.251,2018,R$ 45.230
Movida,FIAT DOBLO 1.8 MPI ESSENCE 16V FLEX 4P MANUAL,40.6,2017,R$ 62.430
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,60.465,2018,R$ 34.630
Movida,RENAULT SANDERO 1.0 12V SCE FLEX EXPRESSION MANUAL,39.968,2018,R$ 35.390
Movida,RENAULT LOGAN 1.0 12V SCE FLEX AUTHENTIQUE MANUAL,35.259,2018,R$ 36.230
Movida,RENAULT LOGAN 1.6 16V SCE FLEX EXPRESSION MANUAL,40.235,2017,R$ 39.290
Movida,VOLKSWAGEN GOL 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL,37.082,2018,R$ 38.330
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,45.002,2017,R$ 30.930
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,26.751,2017,R$ 31.890
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,47.761,2017,R$ 30.930
Movida,FIAT UNO 1.0 FIREFLY FLEX ATTRACTIVE 4P MANUAL,70.983,2017,R$ 30.590
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,32.993,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,36.223,2018,R$ 33.900
Movida,FIAT UNO 1.0 FIREFLY FLEX DRIVE 4P MANUAL,37.494,2018,R$ 33.900
